"report.date","worksite","location","potential.exposure.dates","start","end","standard.report.date"
"02-10","Genome & Biomedical Sciences Facility","Davis campus","02-06
 - 02-09","2021-02-06","2021-02-09","2021-02-10"
"02-11","Shields Library","Davis campus","02-06
 - 02-08","2021-02-06","2021-02-08","2021-02-11"
"02-12","Life Sciences/Green Hall","Davis campus","02-08
 - 02-10","2021-02-08","2021-02-10","2021-02-12"
"02-16","The Green","Davis campus","02-12
 - 02-15","2021-02-12","2021-02-15","2021-02-16"
"02-16","Art Annex","Davis campus","02-10
 - 02-13","2021-02-10","2021-02-13","2021-02-16"
"02-16","Facilities Services","Davis campus","02-10
 - 02-13","2021-02-10","2021-02-13","2021-02-16"
"02-17","Jungerman Hall","Davis campus","02-08
 - 02-09","2021-02-08","2021-02-09","2021-02-17"
"02-17","Transportation and Parking Services","Davis campus","02-11
 - 02-12","2021-02-11","2021-02-12","2021-02-17"
"02-18","Sequoia Hall","Davis campus","02-14
 - 02-17","2021-02-14","2021-02-17","2021-02-18"
"02-18","Hawthorn Hall","Davis campus","02-08
 - 02-10","2021-02-08","2021-02-10","2021-02-18"
"02-18","Tercero Dining Commons","Davis campus","02-14
 - 02-17","2021-02-14","2021-02-17","2021-02-18"
"02-18","Mahogany Hall","Davis campus","02-08
 - 02-10","2021-02-08","2021-02-10","2021-02-18"
"02-18","Yosemite Hall","Davis campus","02-08
 - 02-10","2021-02-08","2021-02-10","2021-02-18"
"02-19","Pritchard VMTH","Davis campus","02-15
 - 02-18","2021-02-15","2021-02-18","2021-02-19"
"02-19","Center for Companion Animal Health","Davis campus","02-15
 - 02-18","2021-02-15","2021-02-18","2021-02-19"
"02-19","Vet Med 2","Davis campus","02-15
 - 02-18","2021-02-15","2021-02-18","2021-02-19"
"02-22","Advanced Transportation Infrastructure Research Ce","Davis campus","02-15
 - 02-18","2021-02-15","2021-02-18","2021-02-22"
"02-22","Life Sciences/Green Hall","Davis campus","02-16
 - 02-19","2021-02-16","2021-02-19","2021-02-22"
"02-22","Hutchison Hall","Davis campus","02-16
 - 02-19","2021-02-16","2021-02-19","2021-02-22"
"02-22","Storer Hall","Davis campus","02-16
 - 02-19","2021-02-16","2021-02-19","2021-02-22"
"02-23","Plant & Environmental Sciences","Davis campus","02-16
 - 02-18","2021-02-16","2021-02-18","2021-02-23"
"02-24","Tercero Dining Commons","Davis campus","02-08
 - 02-10","2021-02-08","2021-02-10","2021-02-24"
"02-25","UC Davis California National Primate Research Cen","Davis campus","02-20
 - 02-24","2021-02-20","2021-02-24","2021-02-25"
"02-25","Peter J. Shields Library","Davis campus","02-21
 - 02-22","2021-02-21","2021-02-22","2021-02-25"
"02-25","Tercero Madrone","Davis campus","02-21
 - 02-23","2021-02-21","2021-02-23","2021-02-25"
"02-26","Hickey Gym","Davis campus","02-23
 - 02-25","2021-02-23","2021-02-25","2021-02-26"
"03-01","UC Davis Health Stadium","Davis campus","02-26
 - 02-28","2021-02-26","2021-02-28","2021-03-01"
"03-01","Schaal Aquatic Center","Davis campus","02-26","2021-02-26","2021-02-26","2021-03-01"
"03-01","Segundo Gilmore","Davis campus","02-26
 - 02-28","2021-02-26","2021-02-28","2021-03-01"
"03-02","260 Cousteau Place","Davis city","02-19","2021-02-19","2021-02-19","2021-03-02"
"03-03","Segundo Gilmore","Davis campus","02-25
 - 03-01","2021-02-25","2021-03-01","2021-03-03"
"03-05","3213 Apiary drive","Davis campus","02-25
 - 02-26","2021-02-25","2021-02-26","2021-03-05"
"03-05","Surge II","Davis campus","02-25
 - 02-26","2021-02-25","2021-02-26","2021-03-05"
"03-08","Peter J. Shields Library","Davis campus","03-04
 - 03-06","2021-03-04","2021-03-06","2021-03-08"
"03-10","Wastewater Treatment Plant","Davis campus","03-04
 - 03-05","2021-03-04","2021-03-05","2021-03-10"
"03-11","Sciences Lecture Hall","Davis campus","03-08
 - 03-11","2021-03-08","2021-03-11","2021-03-11"
"03-12","Peter J. Shields Library","Davis campus","03-09
 - 03-12","2021-03-09","2021-03-12","2021-03-12"
"03-12","Memorial Union Bookstore","Davis campus","03-09
 - 03-12","2021-03-09","2021-03-12","2021-03-12"
"03-12","Tercero Dining Commons","Davis campus","03-09
 - 03-12","2021-03-09","2021-03-12","2021-03-12"
"03-12","Wall Hall","Davis campus","03-09
 - 03-12","2021-03-09","2021-03-12","2021-03-12"
"03-15","Latitude Dining Commons","Davis campus","03-11
 - 03-15","2021-03-11","2021-03-15","2021-03-15"
"03-15","Aggie Surplus & Custodial","Davis campus","03-11
 - 03-15","2021-03-11","2021-03-15","2021-03-15"
"03-15","Tercero Services Center","Davis campus","03-11
 - 03-15","2021-03-11","2021-03-15","2021-03-15"
"03-15","Tercero Dining Commons","Davis campus","03-11
 - 03-15","2021-03-11","2021-03-15","2021-03-15"
"03-15","Scrub Oak Hall","Davis campus","03-12
 - 03-15","2021-03-12","2021-03-15","2021-03-15"
"03-16","Tercero Dining Commons","Davis campus","03-13
 - 03-16","2021-03-13","2021-03-16","2021-03-16"
"03-16","Tercero Dining Commons","Davis campus","03-13
 - 03-15","2021-03-13","2021-03-15","2021-03-16"
"03-16","Tercero Services Center","Davis campus","03-13
 - 03-16","2021-03-13","2021-03-16","2021-03-16"
"03-16","Peter J. Shields Library","Davis campus","03-13
 - 03-15","2021-03-13","2021-03-15","2021-03-16"
"03-17","Currant Hall","Davis campus","03-15
 - 03-16","2021-03-15","2021-03-16","2021-03-17"
"03-17","Tercero Dining Commons","Davis campus","03-15
 - 03-16","2021-03-15","2021-03-16","2021-03-17"
"03-18","Potter Hall","Davis campus","03-15
 - 03-18","2021-03-15","2021-03-18","2021-03-18"
"03-18","Tercero Dining Commons","Davis campus","03-15
 - 03-18","2021-03-15","2021-03-18","2021-03-18"
"03-19","Peter J.Shields Library","Davis campus","03-10
 - 03-16","2021-03-10","2021-03-16","2021-03-19"
"03-19","Tercero Dining Commons","Davis campus","03-10
 - 03-16","2021-03-10","2021-03-16","2021-03-19"
"03-22","Segundo Dining commons","Davis campus","03-16
 - 03-18","2021-03-16","2021-03-18","2021-03-22"
"03-22","The Green","Davis campus","03-16
 - 03-19","2021-03-16","2021-03-19","2021-03-22"
"03-23","Hyatt Place","Davis campus","03-15","2021-03-15","2021-03-15","2021-03-23"
"03-24","Vet Med 3B","Davis campus","03-21
 - 03-23","2021-03-21","2021-03-23","2021-03-24"
"03-29","Bainer Hall","Davis campus","03-19","2021-03-19","2021-03-19","2021-03-29"
"03-29","Social Sciences and Humanities","Davis campus","03-25
 - 03-27","2021-03-25","2021-03-27","2021-03-29"
"03-29","Solano Park","Davis campus","03-19","2021-03-19","2021-03-19","2021-03-29"
"03-29","The Green","Davis campus","03-26
 - 03-29","2021-03-26","2021-03-29","2021-03-29"
"03-29","Atriums at La Rue Park","Davis campus","03-19","2021-03-19","2021-03-19","2021-03-29"
"03-30","Tercero Dining Commons","Davis campus","03-27
 - 03-30","2021-03-27","2021-03-30","2021-03-30"
"03-30","Campbell Hall","Davis campus","03-27
 - 03-30","2021-03-27","2021-03-30","2021-03-30"
"03-30","Tercero Services Center","Davis campus","03-27
 - 03-30","2021-03-27","2021-03-30","2021-03-30"
"03-31","Mondavi Center for the Performing Arts","Davis campus","03-27
 - 03-28","2021-03-27","2021-03-28","2021-03-31"
"04-01","Wickson Hall","Davis campus","03-29
 - 03-31","2021-03-29","2021-03-31","2021-04-01"
"04-01","UC Davis California National Primate Research","Davis campus","03-29
 - 03-31","2021-03-29","2021-03-31","2021-04-01"
"04-01","Sequoia Hall","Davis campus","03-27
 - 03-31","2021-03-27","2021-03-31","2021-04-01"
"04-01","Robbins Hall Annex","Davis campus","03-29
 - 03-31","2021-03-29","2021-03-31","2021-04-01"
"04-01","Tercero Dining Commons","Davis campus","03-27
 - 03-31","2021-03-27","2021-03-31","2021-04-01"
"04-01","Voorhies Hal","Davis campus","03-29
 - 03-31","2021-03-29","2021-03-31","2021-04-01"
"04-05","Aquatic Biology & Environmental Science building","Davis campus","03-31
 - 04-02","2021-03-31","2021-04-02","2021-04-05"
"04-06","Fire & Police Building","Davis campus","04-05","2021-04-05","2021-04-05","2021-04-06"
"04-07","Sproul Hall","Davis campus","04-03
 - 04-05","2021-04-03","2021-04-05","2021-04-07"
"04-08","Segundo Bixby","Davis campus","04-03
 - 04-07","2021-04-03","2021-04-07","2021-04-08"
"04-08","Scrub Oak Hall","Davis campus","04-04
 - 04-07","2021-04-04","2021-04-07","2021-04-08"
"04-08","Scrub Oak Hall","Davis campus","04-05
 - 04-07","2021-04-05","2021-04-07","2021-04-08"
"04-12","Pritchard VMTH","Davis campus","04-06
 - 04-07","2021-04-06","2021-04-07","2021-04-12"
"04-12","Segundo Dining Commons","Davis campus","04-08
 - 04-10","2021-04-08","2021-04-10","2021-04-12"
"04-12","Tercero Dining Commons","Davis campus","04-06
 - 04-07","2021-04-06","2021-04-07","2021-04-12"
"04-12","Police Building","Davis campus","04-07
 - 04-08","2021-04-07","2021-04-08","2021-04-12"
"04-12","Peter J. Shields Library","Davis campus","04-06","2021-04-06","2021-04-06","2021-04-12"
"04-12","Tercero Dining Commons","Davis campus","04-08
 - 04-10","2021-04-08","2021-04-10","2021-04-12"
"04-14","Briggs Hall","Davis campus","04-09","2021-04-09","2021-04-09","2021-04-14"
"04-14","Hutchinson Child Development Center","Davis campus","04-07
 - 04-14","2021-04-07","2021-04-14","2021-04-14"
"04-16","California National Primate Research Center","Davis campus","04-10","2021-04-10","2021-04-10","2021-04-16"
"04-19","Aggie Surplus & Custodial Building","Davis campus","04-14
 - 04-19","2021-04-14","2021-04-19","2021-04-19"
"04-19","Social Sciences and Humanities","Davis campus","04-14
 - 04-16","2021-04-14","2021-04-16","2021-04-19"
"04-20","Pritchard VMTH","Davis campus","04-15
 - 04-16","2021-04-15","2021-04-16","2021-04-20"
"05-28","Campbell Hall","Davis campus","05-21","2021-05-21","2021-05-21","2021-05-28"
"06-07","Vet Med 3A","Davis campus","06-07
 - 06-09","2021-06-07","2021-06-09","2021-06-07"
"07-06","Activities & Recreation Center","Davis campus","06-30
 - 07-01","2021-06-30","2021-07-01","2021-07-06"
"07-06","Toomey Weight Room","Davis campus","06-30
 - 07-02","2021-06-30","2021-07-02","2021-07-06"
"07-06","Asmundson Hall","Davis campus","06-30
 - 07-01","2021-06-30","2021-07-01","2021-07-06"
"07-09","King Hall","Davis campus","07-07","2021-07-07","2021-07-07","2021-07-09"
"07-13","VMTH B Barn","Davis campus","07-05
 - 07-06","2021-07-05","2021-07-06","2021-07-13"
"07-13","Vet Med 2","Davis campus","07-05
 - 07-06","2021-07-05","2021-07-06","2021-07-13"
"07-13","VMTH","Davis campus","07-03
 - 07-05","2021-07-03","2021-07-05","2021-07-13"
"07-13","VMTH","Davis campus","07-05
 - 07-06","2021-07-05","2021-07-06","2021-07-13"
"07-14","TANA arts facility, 1224 Lemen Av, Woodland","Off campus","07-11
 - 07-12","2021-07-11","2021-07-12","2021-07-14"
"07-19","The Grove (Surge III)","Davis campus","07-11
 - 07-13","2021-07-11","2021-07-13","2021-07-19"
"07-19","Hyatt Place","Davis campus","07-14
 - 07-16","2021-07-14","2021-07-16","2021-07-19"
"07-19","Segundo Dining Commons","Davis campus","07-14","2021-07-14","2021-07-14","2021-07-19"
"07-19","Memorial Union","Davis campus","07-15","2021-07-15","2021-07-15","2021-07-19"
"07-20","Student Affairs Annex","Davis campus","07-13
 - 07-15","2021-07-13","2021-07-15","2021-07-20"
"07-23","Advanced Transportation Infrastructure Rsch Ctr","Davis campus","07-19
 - 07-22","2021-07-19","2021-07-22","2021-07-23"
"07-23","Hutchison Hall","Davis campus","07-22","2021-07-22","2021-07-22","2021-07-23"
"07-23","Aggie Surplus and Custodial","Davis campus","07-19
 - 07-23","2021-07-19","2021-07-23","2021-07-23"
"07-23","Bainer Hall","Davis campus","07-17
 - 07-21","2021-07-17","2021-07-21","2021-07-23"
"07-23","Olson Hall","Davis campus","07-19
 - 07-23","2021-07-19","2021-07-23","2021-07-23"
"07-26","Briggs Hall","Davis campus","07-19
 - 07-23","2021-07-19","2021-07-23","2021-07-26"
"07-28","Teaching & Learning Complex","Davis campus","07-27","2021-07-27","2021-07-27","2021-07-28"
"07-28","Hutchison Hall","Davis campus","07-24
 - 07-26","2021-07-24","2021-07-26","2021-07-28"
"07-28","Fleet Services Central Garage","Davis campus","07-23
 - 07-26","2021-07-23","2021-07-26","2021-07-28"
"07-30","Chemistry Annex","Davis campus","07-26
 - 07-27","2021-07-26","2021-07-27","2021-07-30"
"07-30","Fire and Police Building","Davis campus","07-28
 - 07-30","2021-07-28","2021-07-30","2021-07-30"
"07-30","Meyer Hall","Davis campus","07-27
 - 07-28","2021-07-27","2021-07-28","2021-07-30"
"07-30","Vet Med 3A","Davis campus","07-26
 - 07-27","2021-07-26","2021-07-27","2021-07-30"
"07-30","Wastewater Treatment Plant Admin Bldg 2","Davis campus","07-27
 - 07-30","2021-07-27","2021-07-30","2021-07-30"
"07-30","Briggs Hall","Davis campus","07-25
 - 07-29","2021-07-25","2021-07-29","2021-07-30"
"08-03","Emerson Hall","Davis campus","07-29","2021-07-29","2021-07-29","2021-08-03"
"08-03","Orchard Park Greenhouse Complex","Davis campus","07-25
 - 07-30","2021-07-25","2021-07-30","2021-08-03"
"08-03","Teaching & Learning Complex","Davis campus","07-26","2021-07-26","2021-07-26","2021-08-03"
"08-03","Cowell Building","Davis campus","07-28
 - 07-29","2021-07-28","2021-07-29","2021-08-03"
"08-03","Teaching & Learning Complex","Davis campus","07-30","2021-07-30","2021-07-30","2021-08-03"
"08-04","CAHFS San Bernardino Lab","Off campus","07-27
 - 07-29","2021-07-27","2021-07-29","2021-08-04"
"08-04","8-4","Davis campus","07-28","2021-07-28","2021-07-28","2021-08-04"
"08-05","Granite Canyon Laboratory, Monterey, CA","Off campus","07-25
 - 08-04","2021-07-25","2021-08-04","2021-08-05"
"08-05","Nelson Hall","Davis campus","08-01
 - 08-04","2021-08-01","2021-08-04","2021-08-05"
"08-05","Primate Center","Davis campus","07-31
 - 08-05","2021-07-31","2021-08-05","2021-08-05"
"08-06","Plant & Environmental Sciences","Davis campus","08-03
 - 08-05","2021-08-03","2021-08-05","2021-08-06"
"08-06","Briggs Hall","Davis campus","08-02
 - 08-03","2021-08-02","2021-08-03","2021-08-06"
"08-06","Primate Center","Davis campus","08-02
 - 08-03","2021-08-02","2021-08-03","2021-08-06"
"08-09","Gourley Clinical Teaching Center","Davis campus","08-03
 - 08-05","2021-08-03","2021-08-05","2021-08-09"
"08-11","UC Davis Bookstore","Davis campus","08-07
 - 08-09","2021-08-07","2021-08-09","2021-08-11"
"08-11","Waste Water Treatment Plant","Davis campus","08-08
 - 08-10","2021-08-08","2021-08-10","2021-08-11"
"08-11","Plant and Enviro Sciences","Davis campus","08-06
 - 08-08","2021-08-06","2021-08-08","2021-08-11"
"08-11","Emerson Hall","Davis campus","08-04","2021-08-04","2021-08-04","2021-08-11"
"08-11","D Barn / Facilities Shop","Davis campus","08-07
 - 08-09","2021-08-07","2021-08-09","2021-08-11"
"08-11","Watershed Sciences Building","Davis campus","08-08
 - 08-10","2021-08-08","2021-08-10","2021-08-11"
"25-Aug","Activities and Recreation Center (ARC)","Davis campus","08-21
 - 08-23","2021-08-21","2021-08-23","2021-08-25"
"27-Aug","Physical Plant","Davis campus","08-24
 - 08-26","2021-08-24","2021-08-26","2021-08-27"
"27-Aug","ARC","Davis campus","08-23
 - 08-25","2021-08-23","2021-08-25","2021-08-27"
"1-Sep","Center for Neuroscience - CNS","Davis city","08-29
 - 08-31","2021-08-29","2021-08-31","2021-09-01"
"2-Sep","Segundo Services Center","Davis campus","08-30
 - 09-01","2021-08-30","2021-09-01","2021-09-02"
"3-Sep","Valley Hall","Davis campus","31-Aug","2021-08-31","2021-08-31","2021-09-03"
"3-Sep","UC Davis Teaching & Learning Complex","Davis campus","30-Aug","2021-08-30","2021-08-30","2021-09-03"
"3-Sep","The Green","Davis campus","08-31
 - 09-02","2021-08-31","2021-09-02","2021-09-03"
"3-Sep","Vet Med 3A (MPT)","Davis campus","31-Aug","2021-08-31","2021-08-31","2021-09-03"
"7-Sep","VM Mulit-Purpose Teaching Facility","Davis campus","3-Sep","2021-09-03","2021-09-03","2021-09-07"
"7-Sep","Tupper Hall","Davis campus","3-Sep","2021-09-03","2021-09-03","2021-09-07"
"8-Sep","Unitrans Maintenance Shop","Davis campus","09-05
 - 09-07","2021-09-05","2021-09-07","2021-09-08"
"9-Sep","Robbins Hall","Davis campus","09-07
 - 09-08","2021-09-07","2021-09-08","2021-09-09"
"9-Sep","Walter A Beuhler Alumni Center","Davis campus","09-07
 - 09-08","2021-09-07","2021-09-08","2021-09-09"
"9-Sep","Vet Med Admin Building","Davis campus","8-Sep","2021-09-08","2021-09-08","2021-09-09"
"9-Sep","King Hall","Davis campus","7-Sep","2021-09-07","2021-09-07","2021-09-09"
"9-Sep","Valley Hall","Davis campus","7-Sep","2021-09-07","2021-09-07","2021-09-09"
"9-Sep","UC Davis Health Stadium","Davis campus","7-Sep","2021-09-07","2021-09-07","2021-09-09"
"9-Sep","Gourley Clinical Teaching Center","Davis campus","8-Sep","2021-09-08","2021-09-08","2021-09-09"
"10-Sep","Fire & Police Building","Davis campus","09-07
 - 09-09","2021-09-07","2021-09-09","2021-09-10"
"13-Sep","Center for Companion Animal Health","Davis campus","09-08
 - 09-10","2021-09-08","2021-09-10","2021-09-13"
"13-Sep","Campbell Hall","Davis campus","12-Sep","2021-09-12","2021-09-12","2021-09-13"
"13-Sep","King Hall","Davis campus","09-06
 - 09-08","2021-09-06","2021-09-08","2021-09-13"
"13-Sep","Veterinary Medicine 3A","Davis campus","09-08
 - 09-10","2021-09-08","2021-09-10","2021-09-13"
"13-Sep","Gladys Hall","Davis campus","09-08
 - 09-10","2021-09-08","2021-09-10","2021-09-13"
"13-Sep","Student Housing Building","Davis campus","09-08
 - 09-10","2021-09-08","2021-09-10","2021-09-13"
"15-Sep","Sequoia Hall","Davis campus","14-Sep","2021-09-14","2021-09-14","2021-09-15"
"15-Sep","Teaching & Learning Complex","Davis campus","10-Sep","2021-09-10","2021-09-10","2021-09-15"
"15-Sep","Memorial Union","Davis campus","14-Sep","2021-09-14","2021-09-14","2021-09-15"
"15-Sep","Tercero Dining Commons","Davis campus","13-Sep","2021-09-13","2021-09-13","2021-09-15"
"15-Sep","Shasta Hall","Davis campus","09-13
 - 09-14","2021-09-13","2021-09-14","2021-09-15"
"16-Sep","Hutchison Hall","Davis campus","8-Sep","2021-09-08","2021-09-08","2021-09-16"
"16-Sep","Hickey Gym","Davis campus","14-Sep","2021-09-14","2021-09-14","2021-09-16"
"17-Sep","The Greens","Davis campus","09-08
 - 09-10","2021-09-08","2021-09-10","2021-09-17"
"17-Sep","The Greens","Davis campus","09-13
 - 09-15","2021-09-13","2021-09-15","2021-09-17"
"17-Sep","1550 Cannery Avenue","Davis city","09-14
 - 09-16","2021-09-14","2021-09-16","2021-09-17"
"17-Sep","Latitude Dining Hall","Davis campus","16-Sep","2021-09-16","2021-09-16","2021-09-17"
"17-Sep","Thompson Hall","Davis campus","09-15
 - 09-17","2021-09-15","2021-09-17","2021-09-17"
"17-Sep","Latitude Dining Commons","Davis campus","16-Sep","2021-09-16","2021-09-16","2021-09-17"
"17-Sep","The Green at West Village","Davis campus","09-08
 - 09-10","2021-09-08","2021-09-10","2021-09-17"
"20-Sep","UC Davis Bookstore","Davis campus","18-Sep","2021-09-18","2021-09-18","2021-09-20"
"20-Sep","ARC","Davis campus","09-15
 - 09-17","2021-09-15","2021-09-17","2021-09-20"
"20-Sep","Latitude Dining Commons","Davis campus","19-Sep","2021-09-19","2021-09-19","2021-09-20"
"20-Sep","Orchard Park","Davis campus","09-15
 - 09-17","2021-09-15","2021-09-17","2021-09-20"
"20-Sep","Memorial Union","Davis campus","18-Sep","2021-09-18","2021-09-18","2021-09-20"
"20-Sep","The Green","Davis campus","09-13
 - 09-15","2021-09-13","2021-09-15","2021-09-20"
"20-Sep","The Green at West Village","Davis campus","09-13
 - 09-15","2021-09-13","2021-09-15","2021-09-20"
